MSI, Katana GF66 (12UC-005NL),€1399,1,5,https://www.mediamarkt.nl//nl/product/_msi-katana-gf66-12uc-005nl-1719492.html
ACER, PREDATOR TRITON 500 PT516-51S-703F - 16.0 inch - Intel Core i7 - 16 GB - 512 GB - RTX 3070,€1999,0,0,https://www.mediamarkt.nl//nl/product/_predator-triton-500-se-pt516-51s-703f-1714254.html
LENOVO, LEGION 5 - 15.6 inch - AMD Ryzen 7 - 16 GB - 512 GB - GeForce RTX 3050,€1249,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-15-ryzen7-16gb-512gb-rtx-3050-1729755.html
ASUS, ROG FLOW X13 GV301RC-LJ044W - 13.3 inch - AMD Ryzen 7 - 16 GB - 1 TB - RTX 3050,€1699,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-flow-x13-gv301rc-lj044w-1721476.html
ASUS, ROG Zephyrus G14 GA402NU-N2027W - 14 inch 165Hz - AMD Ryzen 7 - 16GB - 512 GB - GeForce RTX 4050,€1899,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-zephyrus-g14-ga402nu-n2027w-14-inch-165hz-amd-ryzen-7-16gb-512-gb-geforce-rtx-4050-1758032.html
MSI, Cyborg 15 A12VF-003NL - 15.6 inch - Intel Core i7 - 16 GB - 512 GB - GeForce RTX 4060,€1449,0,0,https://www.mediamarkt.nl//nl/product/_msi-cyborg-15-a12vf-003nl-156-inch-intel-core-i7-16-gb-512-gb-geforce-rtx-4060-1752308.html
LENOVO, LEGION 5 Pro 16 - Intel Core i7 - 16 GB - 1 TB - RTX 3060,€1899,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-pro-16-intel-core-i7-16-gb-1-tb-rtx-3060-1739848.html
MSI, VECTOR GP66 12UGS-041NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - RTX 3070 Ti,€1929,0,0,https://www.mediamarkt.nl//nl/product/_msi-vector-gp66-12ugs-041nl-1719537.html
MSI, Pulse 15 B13VFK-268NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 4060,€1899,0,0,https://www.mediamarkt.nl//nl/product/_msi-pulse-15-b13vfk-268nl-156-inch-intel-core-i7-16-gb-1-tb-geforce-rtx-4060-1752318.html
MSI, Katana GF66 (12UC-005NL),€1399,1,5,https://www.mediamarkt.nl//nl/product/_msi-katana-gf66-12uc-005nl-1719492.html
ASUS, ROG Strix G17 G713RC-HX057W - 17.3 inch 144Hz - AMD Ryzen 7 - 16GB - 512 GB - GeForce RTX 3050,€1299,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-strix-g17-g713rc-hx057w-173-inch-144hz-amd-ryzen-7-16gb-512-gb-geforce-rtx-3050-1758027.html
ASUS, TUF Gaming F15 FX507ZC4-HN083W - 15.6 inch 144Hz - Intel Core i5 - 16GB - 512 GB - GeForce RTX 3050,€1099,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-f15-fx507zc4-hn083w-156-inch-144hz-intel-core-i5-16gb-512-gb-geforce-rtx-3050-1758014.html
LENOVO, Gaming 3 15-Ryzen 5 16GB 512GB RTX3050TI,€999,1,2,https://www.mediamarkt.nl//nl/product/_lenovo-gaming-3-15-ryzen-5-16gb-512gb-rtx3050ti-1696811.html
MSI, CREATOR M16 A12UC-009NL - 15.6 inch - Intel Core i7 - 16 GB - 512 GB - RTX 3050,€1299,0,0,https://www.mediamarkt.nl//nl/product/_msi-creator-m16-a12uc-009nl-1743297.html
LENOVO, LEGION 5 - 15.6 inch - AMD Ryzen 7 - 16 GB - 512 GB - GeForce RTX 3060,€1299,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-15-ryzen7-16gb-512gb-1729756.html
,Acer Predator Triton 300 SE (PT314-51s-747E),€1599,0,0,https://www.mediamarkt.nl//nl/product/_predator-triton-300-se-pt314-51s-747e-1714252.html
ACER, PREDATOR TRITON 500 PT516-51S-703F - 16.0 inch - Intel Core i7 - 16 GB - 512 GB - RTX 3070,€1999,0,0,https://www.mediamarkt.nl//nl/product/_predator-triton-500-se-pt516-51s-703f-1714254.html
LENOVO, LEGION 5 - 15.6 inch - AMD Ryzen 7 - 16 GB - 512 GB - GeForce RTX 3050,€1249,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-15-ryzen7-16gb-512gb-rtx-3050-1729755.html
ASUS, ROG FLOW X13 GV301RC-LJ044W - 13.3 inch - AMD Ryzen 7 - 16 GB - 1 TB - RTX 3050,€1699,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-flow-x13-gv301rc-lj044w-1721476.html
ASUS, ROG Zephyrus G14 GA402NU-N2027W - 14 inch 165Hz - AMD Ryzen 7 - 16GB - 512 GB - GeForce RTX 4050,€1899,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-zephyrus-g14-ga402nu-n2027w-14-inch-165hz-amd-ryzen-7-16gb-512-gb-geforce-rtx-4050-1758032.html
MSI, Cyborg 15 A12VF-003NL - 15.6 inch - Intel Core i7 - 16 GB - 512 GB - GeForce RTX 4060,€1449,0,0,https://www.mediamarkt.nl//nl/product/_msi-cyborg-15-a12vf-003nl-156-inch-intel-core-i7-16-gb-512-gb-geforce-rtx-4060-1752308.html
LENOVO, LEGION 5 Pro 16 - Intel Core i7 - 16 GB - 1 TB - RTX 3060,€1899,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-pro-16-intel-core-i7-16-gb-1-tb-rtx-3060-1739848.html
MSI, VECTOR GP66 12UGS-041NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - RTX 3070 Ti,€1929,0,0,https://www.mediamarkt.nl//nl/product/_msi-vector-gp66-12ugs-041nl-1719537.html
MSI, Pulse 15 B13VFK-268NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 4060,€1899,0,0,https://www.mediamarkt.nl//nl/product/_msi-pulse-15-b13vfk-268nl-156-inch-intel-core-i7-16-gb-1-tb-geforce-rtx-4060-1752318.html
MSI, Katana GF66 (12UC-005NL),€1399,1,5,https://www.mediamarkt.nl//nl/product/_msi-katana-gf66-12uc-005nl-1719492.html
MSI, Thin GF63 12VE-014NL - 15.6 inch - Intel Core i5 - 16 GB - 512 GB - GeForce RTX 4050,€1095,0,0,https://www.mediamarkt.nl//nl/product/_msi-thin-gf63-12ve-014nl-156-inch-intel-core-i5-16-gb-512-gb-geforce-rtx-4050-1752305.html
ASUS, TUF Gaming F15 FX506HC-HN111W - 15.6 inch 144Hz - Intel Core i5 - 8GB - 512 GB - GeForce RTX 3050,€949,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-f15-fx506hc-hn111w-156-inch-144hz-intel-core-i5-8gb-512-gb-geforce-rtx-3050-1758011.html
ASUS, TUF Gaming A15 FA507XI-LP012W - 15.6 inch 144Hz - AMD Ryzen 9 - 16 GB - 512 GB - GeForce RTX 4070,€1999,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-a15-fa507xi-lp012w-156-inch-144hz-amd-ryzen-9-16gb-512-gb-geforce-rtx-4070-1758005.html
MSI, Stealth 17 Studio A13VI-036NL - 17 inch - Intel Core i9 - 64 GB - 2 TB - GeForce RTX 4090,€5299,0,0,https://www.mediamarkt.nl//nl/product/_msi-stealth-17-studio-a13vi-036nl-17-inch-intel-core-i9-64-gb-2-tb-geforce-rtx-4090-1752317.html
MSI, Titan GT77HX 13VI-009NL - 17.3 inch - Intel Core i9 - 64 GB - 2 TB - GeForce RTX 4090,€6699,0,0,https://www.mediamarkt.nl//nl/product/_msi-titan-gt77hx-13vi-009nl-173-inch-intel-core-i9-64-gb-2-tb-geforce-rtx-4090-1752316.html
HP, VICTUS 16-E0855ND - 16.1 inch - AMD Ryzen 7 - 16 GB - 1 TB,€1399,0,0,https://www.mediamarkt.nl//nl/product/_hp-victus-by-hp-16-e0855nd-1742928.html
MEDION, ERAZER DEPUTY - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 3060,€1449,0,0,https://www.mediamarkt.nl//nl/product/_medion-erazer-deputy-p30-md62473-nl-gaming-laptop-15-6-fhd-intel-core-i7-12700h-16-gb-ram-1-tb-ssd-geforce-rtx-3060-windows-11-zwart-1733397.html
HP, VICTUS 16-E0395ND - 16.1 inch - AMD Ryzen 7 - 16 GB - 1 TB - GeForce RTX 3060,€1499,2,5,https://www.mediamarkt.nl//nl/product/_hp-victus-16-e0395nd-1701523.html
HP, OMEN 16-B1001ND - 16.1 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 3070 Ti,€2299,0,0,https://www.mediamarkt.nl//nl/product/_hp-omen-16-b1001nd-1730424.html
MSI, Katana 15 B12VGK-008NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 4070,€1699,0,0,https://www.mediamarkt.nl//nl/product/_msi-katana-15-b12vgk-008nl-156-inch-intel-core-i7-16-gb-1-tb-geforce-rtx-4070-1752309.html
ASUS, ROG Flow Z13 GZ301VU-MU008W,€2099,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-flow-z13-gz301vu-mu008w-1758040.html
ASUS, ROG Strix SCAR 16 G634JY-NM001W - 16 inch 240Hz - Intel Core i9 - 32GB - 2 TB - GeForce RTX 4090,€4399,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-strix-scar-16-g634jy-nm001w-16-inch-240hz-intel-core-i9-32gb-2-tb-geforce-rtx-4090-1758022.html
MSI, Raider GE68 HX 13VF-015NL - 15.6 inch - Intel Core i7 - 16 GB - 2 TB - GeForce RTX 4060,€2399,0,0,https://www.mediamarkt.nl//nl/product/_msi-raider-ge68-hx-13vf-015nl-156-inch-intel-core-i7-16-gb-2-tb-geforce-rtx-4060-1752332.html
MSI, Katana GF76 12UE-415NL - 17 inch - Intel Core i7 - 16GB - 1TB - GeForce RTX 3060,€1399,0,0,https://www.mediamarkt.nl//nl/product/_msi-katana-gf76-12ue-415nl-17-inch-intel-core-i7-16gb-1tb-geforce-rtx-3060-1756095.html
MSI, Katana GF66 (12UC-005NL),€1399,1,5,https://www.mediamarkt.nl//nl/product/_msi-katana-gf66-12uc-005nl-1719492.html
MSI, Thin GF63 12VE-014NL - 15.6 inch - Intel Core i5 - 16 GB - 512 GB - GeForce RTX 4050,€1095,0,0,https://www.mediamarkt.nl//nl/product/_msi-thin-gf63-12ve-014nl-156-inch-intel-core-i5-16-gb-512-gb-geforce-rtx-4050-1752305.html
ASUS, TUF Gaming F15 FX506HC-HN111W - 15.6 inch 144Hz - Intel Core i5 - 8GB - 512 GB - GeForce RTX 3050,€949,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-f15-fx506hc-hn111w-156-inch-144hz-intel-core-i5-8gb-512-gb-geforce-rtx-3050-1758011.html
ASUS, TUF Gaming A15 FA507XI-LP012W - 15.6 inch 144Hz - AMD Ryzen 9 - 16 GB - 512 GB - GeForce RTX 4070,€1999,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-a15-fa507xi-lp012w-156-inch-144hz-amd-ryzen-9-16gb-512-gb-geforce-rtx-4070-1758005.html
MSI, Stealth 17 Studio A13VI-036NL - 17 inch - Intel Core i9 - 64 GB - 2 TB - GeForce RTX 4090,€5299,0,0,https://www.mediamarkt.nl//nl/product/_msi-stealth-17-studio-a13vi-036nl-17-inch-intel-core-i9-64-gb-2-tb-geforce-rtx-4090-1752317.html
MSI, Titan GT77HX 13VI-009NL - 17.3 inch - Intel Core i9 - 64 GB - 2 TB - GeForce RTX 4090,€6699,0,0,https://www.mediamarkt.nl//nl/product/_msi-titan-gt77hx-13vi-009nl-173-inch-intel-core-i9-64-gb-2-tb-geforce-rtx-4090-1752316.html
MEDION, ERAZER DEPUTY - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 3060,€1449,0,0,https://www.mediamarkt.nl//nl/product/_medion-erazer-deputy-p30-md62473-nl-gaming-laptop-15-6-fhd-intel-core-i7-12700h-16-gb-ram-1-tb-ssd-geforce-rtx-3060-windows-11-zwart-1733397.html
HP, VICTUS 16-E0395ND - 16.1 inch - AMD Ryzen 7 - 16 GB - 1 TB - GeForce RTX 3060,€1499,2,5,https://www.mediamarkt.nl//nl/product/_hp-victus-16-e0395nd-1701523.html
LENOVO, LEGION 5 PRO - 16.0 inch - AMD Ryzen 7 - 32 GB - 1 TB - GeForce RTX 3060,€1999,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-pro-160-inch-amd-ryzen-7-32-gb-1-tb-geforce-rtx-3060-1739837.html
MSI, Katana 15 B12VGK-008NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 4070,€1699,0,0,https://www.mediamarkt.nl//nl/product/_msi-katana-15-b12vgk-008nl-156-inch-intel-core-i7-16-gb-1-tb-geforce-rtx-4070-1752309.html
ASUS, ROG Flow Z13 GZ301VU-MU008W,€2099,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-flow-z13-gz301vu-mu008w-1758040.html
ASUS, ROG Strix SCAR 16 G634JY-NM001W - 16 inch 240Hz - Intel Core i9 - 32GB - 2 TB - GeForce RTX 4090,€4399,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-strix-scar-16-g634jy-nm001w-16-inch-240hz-intel-core-i9-32gb-2-tb-geforce-rtx-4090-1758022.html
MSI, Raider GE68 HX 13VF-015NL - 15.6 inch - Intel Core i7 - 16 GB - 2 TB - GeForce RTX 4060,€2399,0,0,https://www.mediamarkt.nl//nl/product/_msi-raider-ge68-hx-13vf-015nl-156-inch-intel-core-i7-16-gb-2-tb-geforce-rtx-4060-1752332.html
MSI, Katana GF76 12UE-415NL - 17 inch - Intel Core i7 - 16GB - 1TB - GeForce RTX 3060,€1399,0,0,https://www.mediamarkt.nl//nl/product/_msi-katana-gf76-12ue-415nl-17-inch-intel-core-i7-16gb-1tb-geforce-rtx-3060-1756095.html
MSI, Katana GF66 (12UC-005NL),€1399,1,5,https://www.mediamarkt.nl//nl/product/_msi-katana-gf66-12uc-005nl-1719492.html
MSI, Thin GF63 12VE-014NL - 15.6 inch - Intel Core i5 - 16 GB - 512 GB - GeForce RTX 4050,€1095,0,0,https://www.mediamarkt.nl//nl/product/_msi-thin-gf63-12ve-014nl-156-inch-intel-core-i5-16-gb-512-gb-geforce-rtx-4050-1752305.html
ASUS, TUF Gaming F15 FX506HC-HN111W - 15.6 inch 144Hz - Intel Core i5 - 8GB - 512 GB - GeForce RTX 3050,€949,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-f15-fx506hc-hn111w-156-inch-144hz-intel-core-i5-8gb-512-gb-geforce-rtx-3050-1758011.html
ASUS, TUF Gaming A15 FA507XI-LP012W - 15.6 inch 144Hz - AMD Ryzen 9 - 16 GB - 512 GB - GeForce RTX 4070,€1999,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-a15-fa507xi-lp012w-156-inch-144hz-amd-ryzen-9-16gb-512-gb-geforce-rtx-4070-1758005.html
MSI, Stealth 17 Studio A13VI-036NL - 17 inch - Intel Core i9 - 64 GB - 2 TB - GeForce RTX 4090,€5299,0,0,https://www.mediamarkt.nl//nl/product/_msi-stealth-17-studio-a13vi-036nl-17-inch-intel-core-i9-64-gb-2-tb-geforce-rtx-4090-1752317.html
MSI, Titan GT77HX 13VI-009NL - 17.3 inch - Intel Core i9 - 64 GB - 2 TB - GeForce RTX 4090,€6699,0,0,https://www.mediamarkt.nl//nl/product/_msi-titan-gt77hx-13vi-009nl-173-inch-intel-core-i9-64-gb-2-tb-geforce-rtx-4090-1752316.html
LENOVO, LEGION 5 Pro 16 - AMD Ryzen 7 - 32 GB - 1 TB - RTX 3070,€2299,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-pro-16-amd-ryzen-7-32-gb-1-tb-rtx-3070-1739839.html
HP, VICTUS 16-E0385ND - 16.1 inch - AMD Ryzen 5 - 16 GB - 1 TB - GeForce RTX 3050,€1299,2,5,https://www.mediamarkt.nl//nl/product/_hp-victus-16-e0385nd-1730419.html
LENOVO, LEGION 5 PRO - 16 inch - AMD Ryzen 7 - 16 GB - 1 TB - GeForce RTX 3060,€1899,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-pro-16-inch-amd-ryzen-7-16-gb-1-tb-geforce-rtx-3060-1739835.html
HP, OMEN 16-B1001ND - 16.1 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 3070 Ti,€2299,0,0,https://www.mediamarkt.nl//nl/product/_hp-omen-16-b1001nd-1730424.html
MSI, Katana 17 B12UCXK-009NL - 17.3 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 2050,€1299,0,0,https://www.mediamarkt.nl//nl/product/_msi-katana-17-b12ucxk-009nl-173-inch-intel-core-i7-16-gb-1-tb-geforce-rtx-2050-1752312.html
ASUS, ROG Zephyrus Duo 16 GX650PY-NM040W - 16 inch 240Hz - AMD Ryzen 9 - 32GB - 2 TB - GeForce RTX 4090,€4999,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-zephyrus-duo-16-gx650py-nm040w-16-inch-240hz-amd-ryzen-9-32gb-2-tb-geforce-rtx-4090-1758039.html
ASUS, ROG Strix SCAR 16 G634JY-NM001W - 16 inch 240Hz - Intel Core i9 - 32GB - 2 TB - GeForce RTX 4090,€4399,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-strix-scar-16-g634jy-nm001w-16-inch-240hz-intel-core-i9-32gb-2-tb-geforce-rtx-4090-1758022.html
MSI, Raider GE68 HX 13VF-015NL - 15.6 inch - Intel Core i7 - 16 GB - 2 TB - GeForce RTX 4060,€2399,0,0,https://www.mediamarkt.nl//nl/product/_msi-raider-ge68-hx-13vf-015nl-156-inch-intel-core-i7-16-gb-2-tb-geforce-rtx-4060-1752332.html
MSI, Katana GF76 12UE-415NL - 17 inch - Intel Core i7 - 16GB - 1TB - GeForce RTX 3060,€1399,0,0,https://www.mediamarkt.nl//nl/product/_msi-katana-gf76-12ue-415nl-17-inch-intel-core-i7-16gb-1tb-geforce-rtx-3060-1756095.html
MSI, Katana GF66 (12UC-005NL),€1399,1,5,https://www.mediamarkt.nl//nl/product/_msi-katana-gf66-12uc-005nl-1719492.html
MSI, Thin GF63 12VE-014NL - 15.6 inch - Intel Core i5 - 16 GB - 512 GB - GeForce RTX 4050,€1095,0,0,https://www.mediamarkt.nl//nl/product/_msi-thin-gf63-12ve-014nl-156-inch-intel-core-i5-16-gb-512-gb-geforce-rtx-4050-1752305.html
ASUS, TUF Gaming F15 FX506HC-HN111W - 15.6 inch 144Hz - Intel Core i5 - 8GB - 512 GB - GeForce RTX 3050,€949,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-f15-fx506hc-hn111w-156-inch-144hz-intel-core-i5-8gb-512-gb-geforce-rtx-3050-1758011.html
